Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
1985-1989,Niederlenz,Deciduous forest,copper,7.2,-,1989,26.04.1989
1985-1989,Lugano,Urban park,copper,52.7,-,1989,10.05.1989
1995-1999,Santa Maria in Calanca,Coniferous forest,copper,12.2,-,1998,17.03.1998
1995-1999,Glarus Nord,Grassland,copper,40.3,-,1996,17.04.1996
1995-1999,Coldrerio,Crop cultivation,copper,40.4,-,1998,17.03.1998
2015-2019,Le Cerneux-Péquignot,Grassland,copper,10.4,-,2019,26.03.2019
1985-1989,Landquart,Crop cultivation,copper,38.3,-,1988,12.08.1988
1985-1989,Winterthur,Urban park,copper,31.1,-,1988,21.06.1988
1990-1994,Santa Maria in Calanca,Coniferous forest,copper,11.4,-,1993,21.09.1993
1990-1994,Realp,Grassland,copper,3.2,-,1994,27.07.1994
2015-2019,Vouvry,Crop cultivation,copper,36.1,-,2019,19.02.2019
1995-1999,La Neuveville,Special crops,copper,312.6,-,1995,22.03.1995
2000-2004,St. Stephan,Grassland,copper,25.5,-,2003,11.09.2003
1990-1994,Koppigen,Crop cultivation,copper,17.8,-,1991,03.04.1991
1990-1994,Kiesen,Crop cultivation,copper,36.3,-,1992,19.10.1992
2000-2004,Kiesen,Crop cultivation,copper,36.2,-,2002,15.08.2002
2000-2004,Vallon,Crop cultivation,copper,41.5,-,2002,24.09.2002
1985-1989,Mörschwil,Grassland,copper,31.9,-,1988,04.08.1988
2005-2009,Saint-Martin (VS),Grassland,copper,9.4,-,2009,18.06.2009
2000-2004,Gsteig,Coniferous forest,copper,4.9,-,2003,11.09.2003
2000-2004,Scuol,Coniferous forest,copper,10.5,-,2003,24.09.2003
1995-1999,La Sarraz,Crop cultivation,copper,22.4,-,1995,12.04.1995
2005-2009,Vouvry,Crop cultivation,copper,35.4,-,2009,12.03.2009
1990-1994,Attalens,Grassland,copper,19.5,-,1993,03.11.1993
2015-2019,La Neuveville,Special crops,copper,366.8,-,2015,15.04.2015
2010-2014,Etoy,Crop cultivation,copper,26.7,-,2013,05.03.2013
2000-2004,Marthalen,Deciduous forest,copper,11.3,-,2003,10.06.2003
2015-2019,Mörschwil,Grassland,copper,33.5,-,2018,14.03.2018
2010-2014,Landquart,Crop cultivation,copper,41,-,2013,18.03.2013
2015-2019,Entlebuch,Grassland,copper,9.8,-,2018,18.04.2018
1995-1999,Vallon,Crop cultivation,copper,41.5,-,1997,23.09.1997
1990-1994,Wald (ZH),Coniferous forest,copper,11.8,-,1993,08.09.1993
2005-2009,Domleschg,Crop cultivation,copper,44.6,-,2008,19.03.2008
1995-1999,Leuggern,Crop cultivation,copper,8,-,1996,20.03.1996
1990-1994,Oberriet (SG),Crop cultivation,copper,60.8,-,1992,20.10.1992
2015-2019,Oberriet (SG),Crop cultivation,copper,51.2,-,2017,23.02.2017
2010-2014,Domleschg,Crop cultivation,copper,45.2,-,2013,09.04.2013
2005-2009,Lugano,Urban park,copper,54.4,-,2009,19.02.2009
2000-2004,Val-de-Ruz,Crop cultivation,copper,9.9,-,2001,06.09.2001
2015-2019,Payerne,Grassland,copper,19.8,-,2015,16.03.2015
1995-1999,Nesslau,Grassland,copper,14.9,-,1999,27.07.1999
1990-1994,Val-de-Ruz,Crop cultivation,copper,10.1,-,1991,04.06.1991
1985-1989,Val-de-Ruz,Crop cultivation,copper,10,-,1986,10.09.1986
2015-2019,Lugano,Urban park,copper,46.4,-,2019,14.02.2019
2010-2014,Val-de-Ruz,Crop cultivation,copper,10.1,-,2011,16.03.2011
2000-2004,Küssnacht (SZ),Grassland,copper,9.4,-,2010,15.04.2010
2005-2009,Erstfeld,Grassland,copper,22,-,2009,09.04.2009
2005-2009,Payerne,Grassland,copper,19.3,-,2005,31.05.2005
2005-2009,Rothenfluh,Deciduous forest,copper,11.4,-,2009,29.04.2009
1990-1994,Payerne,Grassland,copper,19,-,1990,06.03.1990
2010-2014,Oberriet (SG),Crop cultivation,copper,44.9,-,2012,29.03.2012
1995-1999,Mathod,Special crops,copper,28.5,-,1998,04.03.1998
1995-1999,Erstfeld,Grassland,copper,23,-,1999,01.06.1999
2015-2019,Langenthal,Mixed forest,copper,11.1,-,2019,11.04.2019
1995-1999,Niedermuhlern,Crop cultivation,copper,15.2,-,1996,24.04.1996
2000-2004,Niedermuhlern,Crop cultivation,copper,14.7,-,2001,05.06.2001
2010-2014,Nyon,Special crops,copper,230.5,-,2013,27.05.2013
1990-1994,St. Moritz,Protected sites,copper,6.4,-,1993,11.11.1993
1985-1989,Niedermuhlern,Crop cultivation,copper,13.8,-,1986,07.05.1986
2000-2004,Novaggio,Deciduous forest,copper,10.4,-,2003,14.05.2003
2000-2004,Neuchâtel,Grassland,copper,11.3,-,2010,21.04.2010
1995-1999,Nyon,Special crops,copper,223.5,-,1998,16.04.1998
1995-1999,Kiesen,Crop cultivation,copper,37.9,-,1997,23.09.1997
2005-2009,Gais,Grassland,copper,11.1,-,2009,23.04.2009
2005-2009,Nesslau,Grassland,copper,10.7,-,2009,28.05.2009
2000-2004,Dällikon,Special crops,copper,34,-,2003,24.06.2003
2015-2019,Wald (ZH),Coniferous forest,copper,12.3,-,2018,05.06.2018
2015-2019,Pailly,Crop cultivation,copper,15.5,-,2017,14.03.2017
1995-1999,Gais,Grassland,copper,12.4,-,1999,27.07.1999
1985-1989,Rothenfluh,Deciduous forest,copper,10.9,-,1989,31.05.1989
2005-2009,Davos,Coniferous forest,copper,7,-,2009,24.06.2009
2000-2004,Gais,Grassland,copper,11.1,-,2004,21.04.2004
2015-2019,Gais,Grassland,copper,10,-,2019,01.05.2019
2010-2014,Hochdorf,Grassland,copper,20.5,-,2011,23.03.2011
1990-1994,Hochdorf,Grassland,copper,19.6,-,1991,26.03.1991
2005-2009,Orbe,Deciduous forest,copper,3.9,-,2009,02.04.2009
2000-2004,Vouvry,Crop cultivation,copper,35.2,-,2004,17.03.2004
2000-2004,Visp,Coniferous forest,copper,29.6,-,2004,10.06.2004
2000-2004,Hochdorf,Grassland,copper,20.2,-,2001,31.05.2001
1990-1994,Rothenfluh,Deciduous forest,copper,11.3,-,1994,28.09.1994
1990-1994,Rifferswil,Protected sites,chromium,2.1,-,1993,08.09.1993
2010-2014,Montanaire,Mixed forest,copper,3.9,-,2014,01.04.2014
2000-2004,Davos,Coniferous forest,copper,6.4,-,2004,16.06.2004
1985-1989,Hochdorf,Grassland,copper,20.5,-,1986,14.10.1986
1985-1989,Mathod,Special crops,copper,28.2,-,1988,12.07.1988
1990-1994,Nyon,Special crops,copper,242.2,-,1993,03.11.1993
2010-2014,Mörschwil,Grassland,copper,33,-,2013,18.03.2013
1985-1989,Kiesen,Crop cultivation,copper,38.8,-,1987,22.06.1987
2000-2004,Roggwil (TG),Special crops,copper,25.2,-,2001,27.06.2001
2005-2009,Attalens,Grassland,copper,20.7,-,2008,12.03.2008
1995-1999,Köniz,Crop cultivation,copper,16.9,-,1996,06.06.1996
2000-2004,Domleschg,Crop cultivation,copper,46.3,-,2003,07.07.2003
1985-1989,Attalens,Grassland,copper,18.7,-,1988,20.07.1988
2005-2009,Roggwil (TG),Special crops,copper,24.6,-,2006,11.07.2006
2015-2019,Val-de-Ruz,Crop cultivation,copper,9.6,-,2016,15.03.2016
1985-1989,Domleschg,Crop cultivation,copper,50.7,-,1988,11.08.1988
2005-2009,Koppigen,Crop cultivation,copper,17.2,-,2006,09.08.2006
1995-1999,Rothenfluh,Deciduous forest,copper,11.3,-,1999,07.01.1999
2010-2014,Lugano,Urban park,copper,49,-,2014,27.02.2014
1995-1999,Val-de-Ruz,Crop cultivation,copper,10.5,-,1996,10.04.1996
1990-1994,Rifferswil,Protected sites,copper,6.9,-,1993,08.09.1993
2000-2004,Koppigen,Crop cultivation,copper,17.5,-,2001,09.10.2001
2000-2004,Köniz,Crop cultivation,copper,17.1,-,2001,15.08.2001
2005-2009,Möhlin,Crop cultivation,copper,13.7,-,2006,20.03.2006
1985-1989,Erstfeld,Grassland,copper,21.2,-,1989,11.05.1989
2010-2014,Gais,Grassland,copper,10.8,-,2014,10.04.2014
1995-1999,Oberriet (SG),Crop cultivation,copper,54.6,-,1997,02.09.1997
1985-1989,Oberriet (SG),Crop cultivation,copper,28.1,-,1987,23.09.1987
2000-2004,Rothenfluh,Deciduous forest,copper,11.7,-,2004,19.08.2004
2010-2014,Mathod,Special crops,copper,43.9,-,2013,02.04.2013
1985-1989,Zernez,Protected sites,copper,7.4,-,1988,09.08.1988
2015-2019,Eschenbach (LU),Crop cultivation,copper,21.5,-,2016,07.07.2016
1990-1994,Gais,Grassland,copper,12.4,-,1994,31.08.1994
1990-1994,Köniz,Crop cultivation,copper,17.6,-,1991,03.04.1991
2000-2004,Oberriet (SG),Crop cultivation,copper,53.3,-,2002,30.04.2002
2005-2009,Visp,Coniferous forest,copper,29.3,-,2009,02.04.2009
2005-2009,Oensingen,Crop cultivation,copper,15.6,-,2008,21.02.2008
2005-2009,Buchegg,Grassland,copper,19.3,-,2009,13.03.2009
1985-1989,Buchegg,Grassland,copper,18.9,-,1989,04.04.1989
1990-1994,Domleschg,Crop cultivation,copper,49.1,-,1993,04.08.1993
1990-1994,Montanaire,Mixed forest,copper,4.5,-,1994,20.09.1994
1985-1989,Gais,Grassland,copper,11.6,-,1989,26.09.1989
1985-1989,Nyon,Special crops,copper,223.8,-,1988,21.04.1988
1985-1989,Saint-Martin (VS),Grassland,copper,8.1,-,1989,30.08.1989
2015-2019,Ins,Crop cultivation,copper,31.4,-,2015,17.03.2015
1995-1999,La Brévine,Grassland,copper,8.8,-,1999,23.06.1999
2000-2004,Eschenbach (LU),Crop cultivation,copper,23.2,-,2001,31.05.2001
1985-1989,Orbe,Deciduous forest,copper,3.3,-,1989,05.07.1989
2015-2019,Leuggern,Crop cultivation,copper,10.7,-,2016,18.02.2016
1990-1994,Frauenfeld,Deciduous forest,copper,19.5,-,1993,01.09.1993
2015-2019,Mathod,Special crops,copper,54.6,-,2018,02.05.2018
1985-1989,Eschenbach (LU),Crop cultivation,copper,21.9,-,1986,03.09.1986
2000-2004,Muntogna da Schons,Grassland,copper,15.9,-,2003,22.09.2003
2010-2014,Pailly,Crop cultivation,copper,17.3,-,2013,02.04.2013
1990-1994,Saint-Martin (VS),Grassland,copper,8.5,-,1994,18.10.1994
2005-2009,Pailly,Crop cultivation,copper,17.5,-,2008,13.03.2008
1990-1994,La Brévine,Grassland,copper,9.1,-,1994,09.11.1994
1990-1994,Eschenbach (LU),Crop cultivation,copper,23.1,-,1991,26.03.1991
1985-1989,La Brévine,Grassland,copper,8.7,-,1989,11.04.1989
1990-1994,Muntogna da Schons,Grassland,copper,17.1,-,1993,01.07.1993
2010-2014,Trub,Grassland,copper,8.3,-,2013,24.04.2013
1990-1994,Niedermuhlern,Crop cultivation,copper,13.9,-,1991,03.04.1991
1985-1989,Leuggern,Crop cultivation,copper,9.5,-,1986,20.08.1986
2005-2009,Montanaire,Mixed forest,copper,4,-,2009,01.04.2009
2000-2004,Frauenfeld,Deciduous forest,copper,20.1,-,2003,27.05.2003
2000-2004,Leuggern,Crop cultivation,copper,10.1,-,2001,20.08.2001
1995-1999,Trub,Grassland,copper,8.1,-,1998,07.01.1998
2000-2004,Trub,Grassland,copper,8.1,-,2003,03.06.2003
2015-2019,Niedermuhlern,Crop cultivation,copper,15.6,-,2016,22.03.2016
1990-1994,Winterthur,Urban park,copper,30.2,-,1993,23.06.1993
2000-2004,Wald (ZH),Coniferous forest,copper,12.2,-,2003,15.04.2003
1985-1989,Langenthal,Mixed forest,copper,8.7,-,1989,29.03.1989
2000-2004,Albula/Alvra,Coniferous forest,copper,4.2,-,2003,18.09.2003
1985-1989,Disentis/Mustér,Grassland,copper,26.6,-,1988,25.07.1988
1995-1999,Davos,Coniferous forest,copper,6.9,-,1999,03.08.1999
2005-2009,Hochdorf,Grassland,copper,20.4,-,2006,23.03.2006
1995-1999,Langenthal,Mixed forest,copper,9.6,-,1999,07.01.1999
1995-1999,Hochdorf,Grassland,copper,20.1,-,1996,06.03.1996
2000-2004,Disentis/Mustér,Grassland,copper,23.7,-,2003,07.07.2003
2005-2009,Wiedlisbach,Crop cultivation,copper,22.2,-,2005,19.05.2005
1990-1994,Disentis/Mustér,Grassland,copper,24.3,-,1993,29.06.1993
2005-2009,Langenthal,Mixed forest,copper,8.9,-,2009,12.03.2009
2010-2014,Langenthal,Mixed forest,copper,9.1,-,2014,10.03.2014
2005-2009,Winterthur,Urban park,copper,29.3,-,2008,25.06.2008
1990-1994,Zernez,Protected sites,copper,7.6,-,1993,30.06.1993
1990-1994,Möhlin,Crop cultivation,copper,14.1,-,1991,27.03.1991
2010-2014,Winterthur,Urban park,copper,33.2,-,2013,30.05.2013
2005-2009,Oberriet (SG),Crop cultivation,copper,53.8,-,2007,27.03.2007
2015-2019,Trub,Grassland,copper,9.2,-,2018,17.04.2018
1995-1999,Ins,Crop cultivation,copper,32.2,-,1995,22.03.1995
2005-2009,Albula/Alvra,Coniferous forest,copper,4.1,-,2008,02.07.2008
1995-1999,Pailly,Crop cultivation,copper,17.9,-,1998,20.10.1998
2015-2019,Ebikon,Grassland,copper,22.4,-,2019,28.02.2019
2005-2009,Gsteig,Coniferous forest,copper,5.1,-,2008,07.08.2008
1990-1994,Langenthal,Mixed forest,copper,9.3,-,1994,25.05.1994
2000-2004,Rifferswil,Protected sites,copper,6.1,-,2003,16.06.2003
2010-2014,Niedermuhlern,Crop cultivation,copper,14.4,-,2011,08.03.2011
1990-1994,Roggwil (TG),Special crops,copper,20.8,-,1991,27.03.1991
2000-2004,Stammheim,Mixed forest,copper,18,-,2004,15.04.2004
1985-1989,Cornol,Crop cultivation,copper,13.1,-,1988,07.07.1988
1995-1999,Sant'Antonino,Special crops,copper,32.7,-,1998,17.03.1998
1990-1994,Landquart,Crop cultivation,copper,42.1,-,1993,04.08.1993
1985-1989,Staatswald Galm,Mixed forest,copper,1.8,-,1989,14.06.1989
1990-1994,Sant'Antonino,Special crops,copper,32.7,-,1993,22.09.1993
2005-2009,Kappelen,Deciduous forest,copper,20.5,-,2008,19.06.2008
1985-1989,Ernen,Grassland,copper,15.4,-,1989,09.08.1989
1985-1989,Kappelen,Deciduous forest,copper,20.4,-,1988,31.08.1988
1990-1994,Albula/Alvra,Coniferous forest,copper,4.5,-,1993,01.07.1993
2000-2004,Ernen,Grassland,copper,15.9,-,2004,20.04.2004
1990-1994,Ernen,Grassland,copper,16.2,-,1994,19.10.1994
1995-1999,Mels,Mixed forest,copper,10.2,-,1998,14.05.1998
1985-1989,Entlebuch,Grassland,copper,5.3,-,1988,15.06.1988
1985-1989,Bettlach,Deciduous forest,copper,3.7,-,1988,22.06.1988
1995-1999,Stammheim,Mixed forest,copper,17.9,-,1999,03.03.1999
2005-2009,Alpthal,Coniferous forest,copper,9.9,-,2009,03.06.2009
1985-1989,Roggwil (TG),Special crops,copper,20.4,-,1986,10.06.1986
2000-2004,Möhlin,Crop cultivation,copper,13.5,-,2001,20.08.2001
2010-2014,Binningen,Crop cultivation,copper,16,-,2010,03.03.2010
2015-2019,Conthey,Special crops,copper,23.9,-,2015,14.04.2015
1995-1999,St. Moritz,Protected sites,copper,6.8,-,1998,16.07.1998
2010-2014,Zuzwil (BE),Crop cultivation,copper,23.7,-,2013,04.03.2013
1990-1994,Kappelen,Deciduous forest,copper,20.2,-,1993,31.08.1993
2005-2009,Surses,Grassland,copper,15.6,-,2008,20.08.2008
1995-1999,Buchegg,Grassland,copper,19.8,-,1999,08.03.1999
1990-1994,Binningen,Crop cultivation,copper,16,-,1990,20.02.1990
1995-1999,Staatswald Galm,Mixed forest,copper,2,-,1999,20.04.1999
1990-1994,Mels,Mixed forest,copper,11.6,-,1993,04.08.1993
1985-1989,Wiedlisbach,Crop cultivation,copper,23.1,-,1985,29.10.1985
2010-2014,Glarus Nord,Grassland,copper,40.6,-,2011,24.03.2011
1995-1999,Unterschächen,Grassland,copper,29.7,-,1999,04.05.1999
2000-2004,Hendschiken,Crop cultivation,copper,23.3,-,2002,07.05.2002
2000-2004,Niederlenz,Deciduous forest,copper,7.2,-,2004,05.10.2004
2000-2004,Aadorf,Grassland,copper,31.7,-,2004,15.04.2004
2005-2009,Binningen,Crop cultivation,copper,15.7,-,2005,12.04.2005
2005-2009,Bettlach,Deciduous forest,copper,3.9,-,2008,18.06.2008
1990-1994,Schleitheim,Crop cultivation,copper,31.5,-,1991,27.03.1991
2005-2009,Wald (ZH),Coniferous forest,copper,12.5,-,2008,28.05.2008
1990-1994,Grindelwald,Grassland,copper,3.7,-,1994,01.06.1994
1985-1989,Staffelbach,Mixed forest,copper,6.1,-,1989,19.04.1989
1985-1989,Mels,Mixed forest,copper,10.8,-,1988,01.06.1988
1985-1989,Alpthal,Coniferous forest,copper,11.1,-,1989,27.06.1989
2010-2014,Conthey,Special crops,copper,22.9,-,2010,17.03.2010
1995-1999,Wartau,Special crops,copper,37.5,-,1997,15.10.1997
1985-1989,Möhlin,Crop cultivation,copper,13.3,-,1986,11.07.1986
2010-2014,Cornol,Crop cultivation,copper,13.6,-,2013,15.04.2013
2005-2009,Mels,Mixed forest,copper,10.9,-,2008,30.04.2008
1995-1999,Roggwil (TG),Special crops,copper,23.9,-,1996,17.04.1996
1995-1999,St. Stephan,Grassland,copper,27.5,-,1998,22.09.1998
2005-2009,St. Stephan,Grassland,copper,25,-,2008,06.08.2008
2015-2019,Mels,Mixed forest,copper,12.8,-,2018,29.05.2018
1985-1989,St. Stephan,Grassland,copper,30.7,-,1988,28.04.1988
1990-1994,Coldrerio,Crop cultivation,copper,40.6,-,1993,22.09.1993
2005-2009,Cornol,Crop cultivation,copper,13.6,-,2008,27.02.2008
2005-2009,Unterschächen,Grassland,copper,28.4,-,2009,23.04.2009
2015-2019,Birwinken,Crop cultivation,copper,17.3,-,2018,08.03.2018
1995-1999,Kappelen,Deciduous forest,copper,20.6,-,1998,08.01.1998
2000-2004,Etoy,Crop cultivation,copper,26.6,-,2003,13.03.2003
1990-1994,Staffelbach,Mixed forest,copper,6.3,-,1994,09.03.1994
2005-2009,Ins,Crop cultivation,copper,31.1,-,2005,16.08.2005
1995-1999,Bettlach,Deciduous forest,copper,4,-,1998,08.01.1998
1985-1989,Chamoson,Special crops,copper,468.4,-,1989,31.10.1989
2015-2019,Schleitheim,Crop cultivation,copper,34.4,-,2016,14.03.2016
2005-2009,Etoy,Crop cultivation,copper,26.8,-,2008,13.03.2008
2000-2004,Dübendorf,Crop cultivation,copper,23.6,-,2000,22.02.2000
1995-1999,Alpthal,Coniferous forest,copper,11.3,-,1999,04.05.1999
2005-2009,Jussy,Deciduous forest,copper,11.8,-,2009,11.03.2009
2015-2019,Wiedlisbach,Crop cultivation,copper,23.2,-,2015,16.04.2015
2005-2009,Staatswald Galm,Mixed forest,copper,2.2,-,2009,27.10.2009
1990-1994,Glarus Süd,Grassland,copper,16.1,-,1994,03.08.1994
1990-1994,Staatswald Galm,Mixed forest,copper,2,-,1994,20.09.1994
1985-1989,Sant'Antonino,Special crops,copper,31.4,-,1988,13.12.1988
1985-1989,Binningen,Crop cultivation,copper,16.1,-,1985,27.08.1985
2000-2004,Binningen,Crop cultivation,copper,15.5,-,2000,21.03.2000
1990-1994,Clos du Doubs,Deciduous forest,copper,7.7,-,1993,17.08.1993
2000-2004,Ebikon,Grassland,copper,20.7,-,2004,31.03.2004
2000-2004,Wiedlisbach,Crop cultivation,copper,23.7,-,2000,22.02.2000
1995-1999,L'Abbaye,Coniferous forest,copper,8,-,1998,19.10.1998
1990-1994,Visp,Coniferous forest,copper,28.4,-,1994,19.10.1994
2005-2009,Trub,Grassland,copper,8.2,-,2008,23.04.2008
1990-1994,Lugano,Urban park,copper,50,-,1994,22.11.1994
1985-1989,L'Abbaye,Coniferous forest,copper,7.5,-,1988,02.11.1988
1995-1999,Frauenfeld,Deciduous forest,copper,20,-,1998,31.03.1998
1995-1999,Ebikon,Grassland,copper,22,-,1999,06.01.1999
1990-1994,Erstfeld,Grassland,copper,22.6,-,1994,20.07.1994
2005-2009,Niedermuhlern,Crop cultivation,copper,14.3,-,2006,04.04.2006
2005-2009,Niederlenz,Deciduous forest,copper,7.2,-,2009,15.04.2009
2000-2004,Nyon,Special crops,copper,220.5,-,2003,13.03.2003
1995-1999,Aadorf,Grassland,copper,31.1,-,1999,03.03.1999
2005-2009,Ebikon,Grassland,copper,20.9,-,2009,09.04.2009
1985-1989,Muntogna da Schons,Grassland,copper,16.9,-,1988,26.07.1988
1990-1994,Wartau,Special crops,copper,38.6,-,1992,20.10.1992
1985-1989,Conthey,Special crops,copper,23.5,-,1985,31.07.1985
1995-1999,Orbe,Deciduous forest,copper,4.1,-,1999,31.03.1999
2005-2009,L'Abbaye,Coniferous forest,copper,7.8,-,2008,22.05.2008
1985-1989,St. Moritz,Protected sites,copper,6.5,-,1988,08.11.1988
1995-1999,Visp,Coniferous forest,copper,28.4,-,1999,01.06.1999
2015-2019,Ependes (VD),Grassland,copper,14.5,-,2019,25.03.2019
1995-1999,Montanaire,Mixed forest,copper,4.5,-,1999,31.03.1999
1990-1994,Orbe,Deciduous forest,copper,3.6,-,1994,27.09.1994
1995-1999,Binningen,Crop cultivation,copper,15.8,-,1995,01.03.1995
1985-1989,Trub,Grassland,copper,7.9,-,1988,27.04.1988
1990-1994,Trub,Grassland,copper,8.2,-,1993,08.06.1993
2010-2014,Wartau,Special crops,copper,39.8,-,2012,29.03.2012
1990-1994,Mathod,Special crops,copper,28,-,1993,27.10.1993
2005-2009,Frauenfeld,Deciduous forest,copper,20.1,-,2008,10.04.2008
1985-1989,Glarus Süd,Grassland,copper,16.7,-,1989,20.09.1989
2000-2004,Langenthal,Mixed forest,copper,9.1,-,2004,10.06.2004
1985-1989,Clos du Doubs,Deciduous forest,copper,8,-,1988,07.07.1988
2005-2009,Zuzwil (BE),Crop cultivation,copper,23.6,-,2008,21.02.2008
2000-2004,Lützelflüh,Crop cultivation,copper,17.4,-,2003,03.06.2003
1985-1989,Hendschiken,Crop cultivation,copper,24.3,-,1987,04.08.1987
1995-1999,Lützelflüh,Crop cultivation,copper,18.1,-,1998,05.01.1998
2010-2014,Vouvry,Crop cultivation,copper,35.7,-,2014,18.03.2014
1985-1989,Nesslau,Grassland,copper,20,-,1989,26.09.1989
1995-1999,Disentis/Mustér,Grassland,copper,25.6,-,1998,13.05.1998
1990-1994,Zuzwil (BE),Crop cultivation,copper,22.9,-,1993,28.04.1993
1995-1999,Surses,Grassland,copper,18.7,-,1998,16.07.1998
2015-2019,Binningen,Crop cultivation,copper,14.9,-,2015,09.04.2015
2015-2019,Unterschächen,Grassland,copper,33.7,-,2020,16.04.2020
1990-1994,Unterschächen,Grassland,copper,29.7,-,1994,20.07.1994
1990-1994,Leuggern,Crop cultivation,copper,10,-,1991,15.04.1991
2000-2004,Kappelen,Deciduous forest,copper,20.4,-,2003,08.07.2003
2000-2004,Bellinzona,Special crops,copper,474.9,-,2004,02.03.2004
1995-1999,Vouvry,Crop cultivation,copper,33.7,-,1999,26.04.1999
2010-2014,Bellinzona,Special crops,copper,349.9,-,2014,13.03.2014
1985-1989,Davos,Coniferous forest,copper,7.3,-,1989,18.10.1989
1985-1989,Frauenfeld,Deciduous forest,copper,19.3,-,1988,20.09.1988
2000-2004,Nesslau,Grassland,copper,13.1,-,2004,19.07.2004
2005-2009,Muntogna da Schons,Grassland,copper,16.7,-,2008,03.06.2008
2005-2009,La Sarraz,Crop cultivation,copper,22.2,-,2005,31.05.2005
1995-1999,Muntogna da Schons,Grassland,copper,17.7,-,1998,13.05.1998
1990-1994,Etoy,Crop cultivation,copper,27.2,-,1993,03.11.1993
2000-2004,L'Abbaye,Coniferous forest,copper,8,-,2003,05.08.2003
2000-2004,Schleitheim,Crop cultivation,copper,32.9,-,2001,05.09.2001
2000-2004,Conthey,Special crops,copper,22.8,-,2000,28.06.2000
1990-1994,Davos,Coniferous forest,copper,6.3,-,1994,04.10.1994
1985-1989,Zuzwil (BE),Crop cultivation,copper,21.5,-,1988,18.04.1988
2005-2009,Clos du Doubs,Deciduous forest,copper,7.6,-,2008,08.05.2008
1995-1999,Zuzwil (BE),Crop cultivation,copper,22.8,-,1998,06.01.1998
2005-2009,Hendschiken,Crop cultivation,copper,23,-,2007,21.03.2007
2015-2019,Disentis/Mustér,Grassland,copper,30.9,-,2018,11.04.2018
2010-2014,Vallon,Crop cultivation,copper,41.7,-,2012,20.03.2012
2005-2009,Leuggern,Crop cultivation,copper,10.5,-,2006,09.08.2006
2010-2014,Disentis/Mustér,Grassland,copper,23.2,-,2013,17.04.2013
2005-2009,Bellinzona,Special crops,copper,353.6,-,2009,20.02.2009
2000-2004,Avully,Crop cultivation,copper,11.6,-,2001,15.08.2001
2005-2009,Avully,Crop cultivation,copper,11.7,-,2006,15.03.2006
2005-2009,Zürich,Mixed forest,copper,14.5,-,2009,27.05.2009
2005-2009,Landquart,Crop cultivation,copper,40.4,-,2008,13.02.2008
1990-1994,Avully,Crop cultivation,copper,11.9,-,1991,06.08.1991
2010-2014,Schleitheim,Crop cultivation,copper,34.4,-,2011,01.03.2011
1985-1989,Ins,Crop cultivation,copper,34.4,-,1985,31.10.1985
1990-1994,Vouvry,Crop cultivation,copper,34.7,-,1994,18.10.1994
2000-2004,Wettingen,Mixed forest,copper,25.1,-,2005,13.09.2005
2010-2014,Mels,Mixed forest,copper,11.4,-,2013,04.06.2013
1990-1994,Gempen,Crop cultivation,copper,21.6,-,1993,28.04.1993
1995-1999,Entlebuch,Grassland,copper,7.5,-,1998,18.03.1998
1995-1999,Eschenbach (LU),Crop cultivation,copper,22.1,-,1996,06.03.1996
2010-2014,Ebikon,Grassland,copper,20.4,-,2014,11.03.2014
2010-2014,Entlebuch,Grassland,copper,10.3,-,2013,24.04.2013
2015-2019,Montanaire,Mixed forest,copper,4.3,-,2019,23.05.2019
1990-1994,Wettingen,Mixed forest,copper,25.1,-,1994,15.03.1994
2000-2004,Ins,Crop cultivation,copper,31.6,-,2000,05.06.2000
2000-2004,Zürich,Mixed forest,copper,14.7,-,2004,23.09.2004
2015-2019,Glarus Nord,Grassland,copper,46.3,-,2016,17.02.2016
1990-1994,Dällikon,Special crops,copper,39,-,1993,23.06.1993
2010-2014,Unterschächen,Grassland,copper,28.8,-,2015,08.04.2015
1985-1989,Dübendorf,Crop cultivation,copper,23.8,-,1985,30.10.1985
2015-2019,Wartau,Special crops,copper,40.5,-,2016,05.04.2016
2000-2004,Entlebuch,Grassland,copper,8.9,-,2003,15.04.2003
2000-2004,Staffelbach,Mixed forest,copper,6.3,-,2004,02.11.2004
2010-2014,Eschenbach (LU),Crop cultivation,copper,23.3,-,2011,23.03.2011
1990-1994,Dübendorf,Crop cultivation,copper,21.3,-,1990,13.03.1990
1995-1999,Campo (Vallemaggia),Coniferous forest,copper,18.3,-,1998,27.08.1998
2005-2009,Dübendorf,Crop cultivation,copper,22.4,-,2005,07.07.2005
2005-2009,Staffelbach,Mixed forest,copper,6.1,-,2009,03.04.2009
2000-2004,Aristau,Protected sites,copper,21,-,2004,23.09.2004
1995-1999,Chamoson,Special crops,copper,516.7,-,1999,07.09.1999
1985-1989,Glarus Nord,Grassland,copper,37.6,-,1986,23.09.1986
2015-2019,Bellinzona,Special crops,copper,386.5,-,2019,13.02.2019
1990-1994,Bellinzona,Special crops,copper,654.7,-,1994,22.11.1994
1995-1999,Conthey,Special crops,copper,22.6,-,1995,26.09.1995
1995-1999,Gsteig,Coniferous forest,copper,5,-,1998,22.09.1998
1985-1989,Gsteig,Coniferous forest,copper,4.9,-,1988,24.08.1988
2005-2009,Santa Maria in Calanca,Coniferous forest,copper,11.4,-,2008,04.06.2008
